cell_id,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30
Cell_1,4.548222832,4.275224559,4.156698652,3.712794087,7.308414487,2.207408013,0.729496984,1.856298833,1.448016779,0.080142719,0.378999751,1.540073797,3.573747812,0.939397399,0.671918384,1.290624828,0.630728106,0.879112127,1.152148638,0.356550265,2.299726208,0.282430528,1.392480823,2.159888149,1.361727161,1.046157383,0.870722573,0.736497748,2.72149942,1.552894675
Cell_2,3.488275357,3.893606029,4.942525932,5.530378248,6.160851078,0.474703297,0.863536137,0.721862698,0.977402367,2.282754854,3.330242974,1.602493483,0.599377918,1.12839638,3.804055237,1.263236593,0.872586954,0.945115671,1.596463756,0.493159633,0.704295612,2.4610369,1.559002542,1.274695125,2.556844796,0.56079037,0.847332331,1.516632558,1.471965249,0.208425651
Cell_3,4.260519336,3.447254961,4.849923292,5.414275579,4.77253143,0.079152034,1.138262097,1.232939447,6.362281325,0.970983255,1.523625509,2.887584296,2.18189301,3.432456933,0.21309213,0.390493925,0.655665651,0.165423417,1.242301156,0.428704472,3.769226814,0.508674985,0.852229552,2.284430445,0.278247188,0.149290209,1.37767307,1.470487049,2.231267451,1.826111262
Cell_4,4.063060089,4.373507493,4.90095811,3.988428528,3.656515984,4.56501528,1.756951791,0.398807709,2.240035575,2.547254807,1.671728748,0.921182316,0.527228089,1.085353144,1.57530927,1.18076674,3.546219134,1.981349521,0.464142466,0.350129338,1.769240707,0.941561848,2.120288837,1.756107137,1.089757221,0.470224063,0.176167257,1.413529543,0.272114013,0.448716782
Cell_5,4.579541529,3.692209576,3.669425349,6.985935928,6.397809565,1.816073392,1.814261527,1.816091409,2.530251626,2.021163873,0.515179006,0.929112269,5.877894852,0.088771638,0.727557755,2.782416813,0.552053762,2.065429801,1.216585389,0.594899006,1.379871018,0.502940997,1.047073504,1.801535066,2.373884102,0.7251845,0.593707909,0.265962499,2.465409599,5.28775356
Cell_6,5.755917844,5.99915018,3.721270397,4.227093759,4.980552671,0.373131524,0.066236688,0.25043051,1.033389648,0.732510008,1.661036049,2.450988094,0.961366008,1.233686396,0.083058569,3.168405404,2.076912288,1.245016923,0.716184834,1.405570881,0.615372447,0.823278684,1.60299789,1.913935633,1.869841153,0.555455439,0.105121008,0.28254531,3.776136471,0.753413753
Cell_7,3.198950229,5.706013894,3.758130637,5.662536361,3.957599387,0.621841599,4.690988597,2.736926314,3.012063306,0.292698552,0.562718986,1.157169058,0.863642082,2.268064327,1.963222552,3.333810437,0.758439861,1.400958625,2.91043471,0.723269462,0.586236283,3.338664412,3.816867868,0.869638307,1.161745185,3.148677658,2.213077669,0.198235879,0.471791609,1.243528895
Cell_8,5.078617429,4.856904636,3.869627143,4.587260287,7.127714097,1.050901637,2.570837411,1.004463062,0.229780309,1.603615445,2.165587214,3.598889173,1.088950096,0.88761176,1.51580577,0.337477045,1.490429648,1.494359937,1.053223741,1.107756398,3.690232603,1.537749853,0.860171993,0.224867873,1.845913032,0.481451486,0.868271369,1.295180913,3.772363535,2.663885552
Cell_9,4.120377684,6.120516114,4.844767637,3.132971126,5.902673869,1.396462678,0.041947947,2.580430333,1.561558511,1.15084123,2.255624084,1.159983632,1.658499981,1.038879341,1.087204994,0.335635074,1.776666027,5.09183878,0.854598497,0.488909986,0.661029531,0.202078043,0.971774915,1.059976841,1.212771002,2.348994667,0.616694408,0.669754578,0.279416209,0.6123545
Cell_10,2.945548186,5.564088077,3.180027548,2.298617888,4.921621261,0.491936459,0.43700427,0.35481252,0.592989349,1.418604216,2.45245176,0.454386307,1.163110286,0.752617797,3.845517908,3.416818174,0.246786525,1.196832615,1.309715275,0.73850967,0.612727951,0.481038086,0.671330519,2.073413827,1.640992237,1.077336825,0.546368419,0.680781591,5.057955864,3.936107568
